Gamma_TP10,Beta_TP10,Gamma_AF8,Gamma_TP9,Delta_TP9,Delta_AF8,Delta_TP10,Beta_TP9,Beta_AF8,Beta_AF7,Gamma_AF7,Theta_TP9,Theta_TP10,Theta_AF7,Delta_AF7,Alpha_TP10,Alpha_AF7,Class
0.176203287,0.808388985,-0.197277161,0.018352438,1.752153516,1.10114574,1.066017492,0.401029993,0.395739455,0.275802149,-0.00145024,0.719446772,0.441477206,0.611130706,1.5340712,0.832637201,0.395389536,2
0.172884733,0.947546211,-0.167774244,0.024706167,1.048827657,0.994671449,1.191332671,0.610927562,0.388836761,0.279598638,0.009383253,0.551193792,1.023626663,0.617037944,1.489578281,1.201506401,0.288179525,2
-0.000495712,0.885944083,-0.359921751,0.006705293,0.69977088,0.904991674,1.043913021,0.489751523,0.372800303,0.279598638,0.009383253,0.476907513,1.079283037,0.617037944,1.489578281,1.170848663,0.288179525,2
0.12336189,0.761700974,-0.331017212,-0.097679686,0.738696879,0.787266853,0.964756862,0.481403882,0.22909387,0.420438868,0.056430177,0.471876927,0.87164878,0.664817144,1.05858296,1.250453644,0.723148733,2
0.116318082,0.701233832,-0.327581506,-0.084516473,1.030767066,0.720173248,0.914435467,0.527277388,0.233848313,0.332394315,0.009623289,0.609341856,0.828082288,0.525781373,0.963569653,1.245039657,0.796166124,2
0.195809033,0.631983822,-0.296954221,-0.042045588,1.207352921,0.616908278,0.926600651,0.545307533,0.160341778,0.252302353,-0.1118033,0.705610018,0.744686801,0.337019643,0.804622178,1.182094609,0.764043655,2
0.113220551,0.689405985,-0.345714098,0.087181426,1.397984588,0.538333729,0.960949205,0.623693786,0.280670604,0.138854494,-0.077665174,0.846037022,0.961538076,0.123787193,0.74798409,1.002710455,0.558002793,2
0.085569143,0.729632955,-0.486341379,0.045048381,1.378154378,0.618313365,0.975849089,0.687782633,0.407975391,0.018928861,-0.129683282,0.841560698,0.945731019,0.175143557,0.621230533,1.049313272,0.648136271,2
0.085569143,0.729632955,-0.486341379,0.045048381,1.378154378,0.618313365,0.975849089,0.687782633,0.407975391,0.018928861,-0.129683282,0.841560698,0.945731019,0.175143557,0.621230533,1.049313272,0.648136271,2
-0.005946941,0.782756718,-0.223594654,0.159283094,0.985965445,1.522986529,1.09954423,0.89025178,0.531264368,0.241860086,-0.252563502,0.257641151,0.770808249,0.073232542,0.280279593,0.796343426,0.349531969,2
