Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Class
1.555698129,1.849934746,1.700983886,1.252026765,0.919835465,0.97412752,1.154730684,0.504477903,0.987751489,0.538580557,1.155800579,0.836021609,0.496106805,0.244676613,0.726619881,0.848414427,0.158664771,-0.535541678,0.010345486,0.309776231,751.8681319,782.8937729,801.4285714,742.1978022,650.7326007,-0.122742,-0.268005,0.959839,2.953339,-0.239258,-1.106567,1.0,1.0,1.0,1.0,1.0,45.0,2
1.555698129,1.940013749,1.782503236,1.252026765,0.919835465,1.015835667,1.167775463,0.504477903,0.987751489,0.535016508,1.039166343,0.836021609,0.496106805,0.291038228,0.638027451,0.848414427,0.158664771,-0.397689642,-0.036837969,0.309776231,790.5494505,803.4432234,790.952381,844.5421245,961.3919414,-0.129272,-0.243469,0.967712,8.187103,-3.37204,-3.125305,1.0,1.0,1.0,1.0,1.0,45.0,2
1.555698129,1.372175799,1.782503236,1.252026765,0.919835465,0.598268517,1.167775463,0.504477903,0.987751489,0.584802456,1.039166343,0.836021609,0.496106805,0.229823746,0.638027451,0.848414427,0.158664771,-0.235447908,-0.036837969,0.309776231,770.4029304,797.3992674,789.3406593,835.6776557,845.3479853,-0.147766,-0.238464,0.9729,5.114136,-2.788849,-1.398163,1.0,1.0,1.0,1.0,1.0,45.0,2
0.468111791,0.335165771,0.759983271,1.468723863,0.247690948,0.028554512,0.709749554,0.452515184,0.701115364,0.318214947,0.519749879,0.536338216,0.663579832,0.123512356,0.442189936,0.720989708,0.151048822,-0.347738834,-0.177880141,0.651306826,715.6043956,876.7765568,827.6190476,649.5238095,514.5421245,-0.151062,-0.236023,0.976562,4.732819,-3.39447,-2.512207,1.0,1.0,1.0,1.0,1.0,45.0,2
0.468111791,0.418999258,1.054096389,1.468723863,0.247690948,0.064597608,0.951457359,0.452515184,0.701115364,0.320720557,0.813445553,0.536338216,0.663579832,0.111365144,0.413946372,0.720989708,0.151048822,-0.362494522,-0.278390625,0.651306826,819.5604396,803.040293,804.6520147,771.2087912,763.956044,-0.14801,-0.232056,0.971252,5.996399,-3.715973,-2.302856,1.0,1.0,1.0,1.0,1.0,45.0,2
0.441791167,0.508932296,1.273422894,1.330790299,-0.034697103,0.069796623,0.992747704,0.503537406,0.643341875,0.189879958,0.816299064,0.482701477,0.779637348,0.106509578,0.338109508,0.736940768,0.228433173,-0.469525525,-0.348687399,0.691841499,797.8021978,794.981685,794.1758242,773.6263736,990.8058608,-0.16217,-0.235718,0.969849,6.04126,-3.237457,-2.100983,1.0,1.0,1.0,1.0,1.0,45.0,2
0.942499998,0.534003993,1.265127445,0.979203402,1.143144769,-0.031387272,0.964603754,0.835529142,0.750680899,0.188246597,0.816299064,0.851760175,0.638580444,0.053388494,0.232292451,0.831403332,0.115089568,-0.420855627,-0.378314253,0.681898396,847.7655678,763.5531136,760.7326007,841.3186813,678.5347985,-0.163208,-0.232178,0.971802,6.489868,-2.953339,-2.355194,1.0,1.0,1.0,1.0,1.0,45.0,2
0.942499998,0.439740538,1.307307227,0.979203402,1.143144769,-0.197952161,0.95473914,0.835529142,0.750680899,0.159409165,0.803367174,0.851760175,0.638580444,0.080897056,0.13573366,0.831403332,0.115089568,-0.38072393,-0.358023491,0.681898396,787.7289377,794.981685,789.3406593,741.7948718,584.6520147,-0.169189,-0.233337,0.969055,5.181427,-3.551483,-1.988831,1.0,1.0,1.0,1.0,1.0,45.0,2
0.942499998,0.439740538,0.762402801,0.979203402,1.143144769,-0.197952161,0.481787819,0.835529142,0.750680899,0.159409165,0.623344264,0.851760175,0.638580444,0.080897056,0.111752554,0.831403332,0.115089568,-0.38072393,-0.361408023,0.681898396,795.7875458,796.1904762,780.0732601,754.6886447,589.8901099,-0.164673,-0.23291,0.98761,6.026306,-3.529053,-2.220612,1.0,1.0,1.0,1.0,1.0,45.0,2
0.634703164,0.315555863,0.694855009,0.492608493,0.509937394,-0.238103182,0.657516484,0.267970929,0.603927131,0.313397807,0.679136068,0.880098096,0.6939079,-0.105061254,0.247435167,0.872656172,0.066159544,-0.500528997,-0.210912951,0.546073455,800.6227106,794.5787546,801.4285714,825.2014652,724.4688645,-0.169128,-0.227051,0.974365,5.256195,-4.351501,-2.041168,1.0,1.0,1.0,1.0,1.0,45.0,2
0.766396669,0.238681042,0.43427236,0.713698698,0.504886506,-0.073170872,0.419969127,0.215538725,0.672457637,0.443479996,0.563208939,0.892646545,0.625508802,-0.07851191,0.229813135,0.874219661,0.050679232,-0.562662811,-0.219794171,0.508794974,823.1868132,760.7326007,764.7619048,840.5128205,645.4945055,-0.170288,-0.230408,0.970825,5.951538,-3.200073,-1.749573,1.0,1.0,1.0,1.0,1.0,45.0,2
0.766396669,0.238681042,0.5203736,0.713698698,0.504886506,-0.073170872,0.527079455,0.215538725,0.672457637,0.443479996,0.649534542,0.892646545,0.625508802,-0.07851191,0.188651039,0.874219661,0.050679232,-0.562662811,-0.251094307,0.508794974,786.9230769,787.3260073,806.6666667,779.2673993,609.6336996,-0.180603,-0.227478,0.966919,5.607605,-4.194489,-2.542114,1.0,1.0,1.0,1.0,1.0,45.0,2
0.867309684,0.14520786,0.610395675,0.859501237,0.499776184,0.046078993,0.533963007,0.155895913,0.573116789,0.432272589,0.594640287,0.71183683,0.544286131,-0.053492504,0.152384149,0.87577754,0.034626667,-0.635194262,-0.370658601,0.468013595,801.4285714,795.7875458,810.2930403,798.2051282,803.8461538,-0.175598,-0.228882,0.973572,5.921631,-4.344025,-1.861725,1.0,1.0,1.0,1.0,1.0,45.0,2
0.9430621,0.736866795,0.895123634,1.164895919,0.490140884,0.578859177,0.545466925,0.500617782,0.529027105,0.734551073,1.148774329,0.829547857,0.531085121,0.263334201,0.535944495,0.650035616,0.069555802,-0.357312051,-0.457654157,0.24654083,796.1904762,801.4285714,786.5201465,823.5897436,929.1575092,-0.183472,-0.222412,0.972229,5.802002,-3.828125,-0.807495,1.0,1.0,1.0,1.0,1.0,45.0,2
