Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,emotion
0.48709223,0.38229772,-0.1678954,0.15826519,0.2387962,0.0877281,-0.3182253,0.14698401,1.0314031,0.61054397,0.28884345,0.6380571,0.35092297,0.1261266,0.12730879,0.42919892,0.04178689,-0.08319329,-0.033102892,0.29009709999999994,2
-0.004514824000000001,0.40355232,0.46239305,0.15100205,0.28234655,0.090389825,0.30061279999999996,0.25564292,0.62853897,0.46701774,0.46060225,0.6114455,0.45033118,0.20218007,0.3335591,0.6131555000000001,0.022429196000000002,-0.13830628,-0.07159561,0.12652239,2
0.012853102,-0.017377494,0.19555934,0.25792614,-0.0480962,-0.05565145,0.06125292,-0.16310164,0.698091,0.44684914,0.50502336,0.6101850000000001,0.41829562,0.2839972,0.24046281,0.58171314,0.16698268,-0.09250985,-0.1262655,0.15407863,2
-0.27363592,0.20513420000000002,-0.16123929999999997,0.28809044,-0.059695236,0.21376598,-0.042460095,0.09617433,0.6552697,0.28928348,0.17587952,0.696839,0.44547665,0.24593632,0.35780367,0.50728863,0.26339316,0.12958047,-0.005055952,0.29050416,2
0.1719463,0.750526,0.2184007,0.23428139,0.21342887,0.19156648,-0.15656766,0.08121012,0.70497,0.3951573,0.24308623,0.6212916,0.39408273,0.22060907,0.20347962,0.475666,0.25106552,0.14673524,0.13758293,0.36789286,2
0.36002305,0.9652616,0.2187277,0.18852362,0.48305756,0.28317642,-0.15023857,0.06352251,0.7581974,0.2608804,0.30903605,0.7352795,0.40986925,0.30463722,0.15808034,0.5151372000000001,0.15523787,0.082345106,-0.058346022000000004,0.25145006,2
0.23257765,0.42945606,0.256471,0.21081966,0.56952626,0.11603374,0.020671296999999998,0.013080200000000002,0.75912654,0.1973348,0.32155433,0.6865063,0.35445547,0.19261901,0.22021277,0.46084324,0.19817981,-0.018485095,0.05078818,0.17569967,2
-0.050166324000000005,0.53863126,0.11296932400000001,-0.021801636,0.10053212,0.19021343,-0.025199608999999998,-0.10641069,0.37770936,0.30897927,0.2292448,0.54107845,0.33925438,0.18249947,-0.062895626,0.33965433,0.21958035,-0.057447486,0.052958474000000005,0.19287905,2
0.003850879,0.43175733,0.18365489,0.008253079,0.33387512,0.1609869,0.054390185,0.31729240000000003,0.59372365,0.26144558,0.17708242,0.5766473000000001,0.3768462,0.13318866,-0.003369402,0.36364838,-0.042283636,-0.26946685,-0.06847084,0.115953855,2
-0.14443256,0.06222056,0.19660938,-0.061228935,0.09658944,-0.24901246,-0.050945655,0.15125689,0.45140895,0.07246901,0.09012097,0.5285446,0.37926504,0.007947833,0.023920907,0.32405487,-0.14308201,-0.2598298,-0.14100292,0.03715167,2
