TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Mellow,Concentration,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,emotion
33:03.1,0.67717147,0.5080498,0.7453311,0.218233,0.24543248,0.35346043,0.6893661,0.4551601,0.38033566,-0.139037,0.60826236,0.12850699,0.5293082,0.3010609,0.6150823,0.48135436,0.23768683,0.08833467,0.2135318,0.56372976,832.8571,804.65204,792.5641,801.4286,796.99634,94.00001,21.999996,-0.147583008,0.189880371,0.97064209,2.534637451,-3.454284668,0.13458252,1,1,1,1,1,35,sad
33:04.1,0.64172685,0.43321225,0.75193185,0.2996387,0.100522086,0.1305539,0.43020585,0.28707063,0.43971637,-0.0316585,0.69504726,0.78622764,0.5505612,0.06950841,0.4868233,0.48233682,0.19470046,-0.095969096,0.08805452,0.4838466,872.3443,789.34064,797.3993,846.1539,1052.0513,74.00002,42.000004,-0.155517578,0.188903809,0.967102051,2.691650391,-3.058013916,-0.95703125,1,1,1,1,1,35,sad
33:05.1,0.18601456,0.23684691,0.97566694,0.22867624,0.045611035,0.08398478,0.72232634,0.22380787,0.550622,0.5419506,0.91564596,0.8344302,0.5706557,0.4507588,0.4375801,0.8484987,0.20204271,0.3565566,0.101771295,0.81466734,799.011,795.38464,789.7436,811.0989,793.7729,54.000046,61.999996,-0.157714844,0.18939209,0.968505859,3.798217773,-4.373931885,-0.93460083,1,1,1,1,1,35,sad
33:06.1,0.2846186,0.30692777,0.9748204,0.12818745,0.33555055,-0.016809588,0.7605332,0.23209295,0.7485356,0.4735208,0.91564596,0.72578204,0.39776236,0.34344888,0.45105892,0.6157098,0.13539839,0.072154194,0.11624374,0.4250088,786.9231,792.96704,789.34064,817.1429,885.64105,42.000042,81.99998,-0.157592773,0.187072754,0.969360352,3.140258789,-4.164581299,-2.370147705,1,1,1,1,1,35,sad
33:07.2,0.55402136,0.26435447,0.3235842,0.4033795,0.4282659,-0.22851679,-0.023041219,0.097800836,0.70659775,0.50331116,0.5508353,0.7301247,0.4691993,0.33281568,0.19175652,0.57742226,0.2786523,0.10605061,0.095604695,0.20271108,850.989,793.36993,772.8205,816.337,945.6777,46.000046,83.99998,-0.161437988,0.189331055,0.966796875,3.050537109,-3.977661133,-1.629943848,1,1,1,1,1,35,sad
33:08.2,0.20725954,-0.06357304,0.11005316,0.13443588,0.28924933,-0.3337518,-0.06977636,0.37939304,0.75609046,0.51174945,0.5381962,0.8898155,0.35735404,0.23405127,0.2244908,0.31515846,0.22470537,0.03062156,0.19263563,0.25510573,751.8681,794.9817,795.38464,792.5641,601.1722,62.00004,87.99997,-0.163085938,0.192504883,0.967895508,3.566436768,-3.925323486,-1.816864014,1,1,1,1,1,35,sad
33:09.2,0.10271495,0.16125794,0.39935914,0.3264383,0.33118746,-0.061046578,0.08386598,0.4443008,0.6035173,0.4683946,0.17355745,0.871975,0.3284953,0.33495727,0.11300485,0.37209177,0.13307223,0.13383698,0.12706575,0.30710807,853.4066,791.75824,777.25275,819.9634,933.5897,82.000015,99.99996,-0.159118652,0.199035645,0.969665527,3.955230713,-4.665527344,-1.457977295,1,1,1,1,1,35,sad
33:10.2,0.22465575,0.06982807,0.63489413,0.31980214,-0.09142849,-0.09953757,0.36300522,0.15245013,0.55754244,0.34873253,0.453555,0.59937143,0.3567349,0.24584268,0.24785417,0.5776707,0.1443191,0.18701951,-0.005423677,0.24268642,776.8498,801.8315,799.41394,804.2491,697.0696,78.00002,100,-0.160888672,0.190490723,0.969543457,3.701019287,-3.865509033,-1.487884521,1,1,1,1,1,35,sad
33:11.2,0.277708,0.004005213,0.3583811,0.25872546,-0.012187277,-0.007010809,-0.015325448,0.064975604,0.7612358,0.24587117,0.21908972,0.62326014,0.38118586,0.3260799,0.12567963,0.53958297,0.08736095,0.048603155,0.20668298,0.2589925,852.6007,786.9231,772.01465,799.41394,757.50916,80.000015,100,-0.151428223,0.1953125,0.966003418,3.461761475,-4.314117432,-1.861724854,1,1,1,1,1,35,sad
33:12.2,0.8141033,0.39299273,0.23343332,0.9732462,0.38268736,0.11714037,-0.25248122,0.6086426,0.94738,0.30860668,0.24806377,1.0615786,0.5393984,0.21745284,0.3655664,0.586987,0.38972571,0.16306281,0.24654731,0.4504046,824.3956,805.05493,790.14655,823.5897,890.07324,92.00001,84.000015,-0.15411377,0.197509766,0.965637207,3.342132568,-4.134674072,-1.742095947,1,1,1,1,1,35,sad
