TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-09-11 00:41:53.714,0.4224741,0.0,0.0,0.3754082,0.51271915,0.0,0.0,0.5624539,0.6710209,0.0,0.0,0.49024856,0.36652803,0.0,0.0,0.26209828,0.018506275,0.0,0.0,0.008527713,795.38464,685.38464,978.315,790.14655,674.10254,0.33074951171875,-0.03863525390625,0.95953369140625,6.213226318359375,-4.777679443359375,-1.734619140625,1,1.0,1.0,4.0,1.0,65.00
2021-09-11 00:41:53.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-09-11 00:41:54.248,0.31963542,0.0,0.0,0.39760518,0.47436693,0.0,0.0,0.51403826,0.6919239,0.0,0.0,0.52408963,0.40036744,0.0,0.0,0.42459962,-0.0012043772,0.0,0.0,-0.062351163,895.31134,1052.4542,103.95605,849.3773,1278.4982,0.3292236328125,-0.03948974609375,0.95550537109375,6.063690185546875,-4.59075927734375,-1.3458251953125,1,1.0,1.0,4.0,1.0,65.00
2021-09-11 00:41:54.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-09-11 00:41:54.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-09-11 00:41:54.770,0.3480709,0.0,0.0,0.5306149,0.4296487,0.0,0.0,0.48723572,0.7415114,0.0,0.0,0.7395333,0.45501485,0.0,0.0,0.51939136,0.030121204,0.0,0.0,-0.045161434,844.94507,918.68134,1377.619,818.7546,957.3626,0.32489013671875,-0.036376953125,0.95880126953125,5.48797607421875,-2.930908203125,-1.652374267578125,1,1.0,1.0,4.0,1.0,65.00
2021-09-11 00:41:55.314,0.7180198,0.0,0.0,0.7704769,0.8733597,0.0,0.0,0.90491605,0.9692563,0.0,0.0,0.9835854,0.62730026,0.0,0.0,0.64607394,0.0683264,0.0,0.0,0.06907811,885.2381,1134.652,18.534798,855.0183,1071.392,0.32196044921875,-0.0423583984375,0.95880126953125,5.45806884765625,-2.73651123046875,-0.351409912109375,1,1.0,1.0,4.0,1.0,65.00
2021-09-11 00:41:55.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-09-11 00:41:55.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-09-11 00:41:55.829,0.73188376,0.0,0.0,0.7988549,0.91166085,0.0,0.0,0.92574024,0.97116,0.0,0.0,0.9990265,0.67192185,0.0,0.0,0.5939627,0.09581723,0.0,0.0,0.1435945,888.0586,1098.3883,18.534798,859.45056,1239.8169,0.32525634765625,-0.04119873046875,0.961669921875,4.658050537109375,-3.327178955078125,-1.757049560546875,1,1.0,1.0,4.0,1.0,65.00
2021-09-11 00:41:56.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-09-11 00:41:56.363,0.64457774,0.0,0.0,0.72778374,0.79188436,0.0,0.0,0.8309852,0.9696954,0.0,0.0,0.9987062,0.57546985,0.0,0.0,0.52455956,0.11399273,0.0,0.0,0.15442978,854.21246,1061.3187,1290.989,841.7216,836.8865,0.292236328125,-0.051025390625,0.96331787109375,5.18890380859375,-1.248626708984375,-4.4561767578125,1,1.0,1.0,4.0,1.0,65.00
2021-09-11 00:41:56.899,0.42364186,0.0,0.0,0.522095,0.48708677,0.0,0.0,0.55687505,0.66676456,0.0,0.0,0.69657236,0.4240751,0.0,0.0,0.52359194,0.1559506,0.0,0.0,0.19003272,754.2857,642.674,185.75092,794.9817,856.63007,0.30401611328125,-0.063232421875,0.97564697265625,4.66552734375,-4.508514404296875,-2.452392578125,1,1.0,1.0,4.0,1.0,65.00
2021-09-11 00:41:57.190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-09-11 00:41:57.441,0.48477408,0.0,0.0,0.5008052,0.41039264,0.0,0.0,0.5630505,0.58786774,0.0,0.0,0.5818501,0.29170632,0.0,0.0,0.51458126,0.17582747,0.0,0.0,0.19270842,906.99634,1253.9194,63.663002,867.1062,1050.0366,0.299560546875,-0.06158447265625,0.97479248046875,9.49554443359375,-13.704986572265625,-2.310333251953125,1,1.0,1.0,4.0,1.0,65.00
